User_Name;Repo_Name;Commits_On_Main;Open_Issues;Closed_Issues;Contributors;Total_Lines;Most_Used_Language;Max_Lang_Lines
Baseflow;PhotoView;462;194;475;40;52523;Java;52523
SnapKit;Masonry;406;144;332;51;158923;Objective-C;155469
sideway;joi;2296;108;2038;199;1663075;JavaScript;1624158
redisson;redisson;7150;271;3454;106;11320494;Java;11320494
sudheerj;reactjs-interview-questions;344;4;49;67;9330;JavaScript;6679
photoprism;photoprism;5350;301;1081;100;5012101;Go;3743568
dotnet;corefx;4;10;24883;717;0;None;0
fish-shell;fish-shell;15357;477;5715;700;3997110;C++;2846195
nostalgic-css;NES.css;827;58;138;60;98139;SCSS;77617
zhiwehu;Python-programming-exercises;23;146;11;2;0;None;0
microsoft;api-guidelines;394;87;77;63;0;None;0
remoteintech;remote-jobs;1637;28;101;629;51333;JavaScript;34645
schollz;croc;1634;78;239;66;150574;Go;122014
tmrts;go-patterns;72;61;11;11;12193;Go;12193
eugeneyan;applied-ml;388;2;18;35;0;None;0
wenyan-lang;wenyan;914;177;304;57;451254;TypeScript;393712
bazelbuild;bazel;32006;2465;7236;756;50236008;Java;42214998
alibaba;weex;12033;27;1882;196;23229701;C++;10574519
apache;flink;30187;813;18161;1015;106791086;Java;91863651
locustio;locust;3449;19;1262;196;842890;Python;780555
google;eng-practices;66;6;6;12;0;None;0
adobe-fonts;source-code-pro;28;55;159;5;6457;CSS;6457
n0shake;Public-APIs;632;0;46;266;0;None;0
qishibo;AnotherRedisDesktopManager;641;88;554;19;427659;JavaScript;387308
nextcloud;server;61716;2077;11913;795;33553657;PHP;21005025
spf13;viper;480;414;377;137;188466;Go;185957
open-mmlab;mmdetection;1961;510;4807;315;4465886;Python;4416150
wekan;wekan;8687;727;2319;226;3171619;JavaScript;1549753
taichi-dev;taichi;8394;435;1091;160;4691451;C++;3046240
eggjs;egg;980;233;3;186;318792;JavaScript;318439
Awesome-Windows;Awesome;523;85;71;138;0;None;0
jumpserver;jumpserver;6906;169;3899;87;3359055;Python;2935423
airyland;vux;2620;391;2926;124;1318404;Vue;736201
chalk;chalk;328;0;312;52;22128;JavaScript;16449
SpaceVim;SpaceVim;5300;86;2182;290;25322046;Vim script;23124944
python-poetry;poetry;2056;1288;2442;337;1647928;Python;1413578
pytorch;examples;571;329;248;175;318638;Python;252020
academic;awesome-datascience;834;3;40;171;0;None;0
telegramdesktop;tdesktop;11959;717;10050;145;13103511;C++;12648806
vadimdemedes;ink;504;69;212;90;154292;TypeScript;150186
FelisCatus;SwitchyOmega;606;554;1681;62;443954;CoffeeScript;340628
dracula;dracula-theme;490;51;446;66;0;None;0
jaywcjlove;linux-command;859;34;3;97;1525939;Markdown;1473380
go-delve;delve;2214;113;1261;170;5379890;Go;2701201
PHPMailer;PHPMailer;2085;30;1836;231;635510;PHP;631121
nothings;stb;2126;127;593;188;3558187;C;3423825
phoenixframework;phoenix;7130;46;2122;1029;1670587;Elixir;1469466
recharts;recharts;1895;331;3;206;715437;TypeScript;487705
dennybritz;reinforcement-learning;259;107;61;41;2277678;Jupyter Notebook;2210861
nuysoft;Mock;230;307;140;5;353341;JavaScript;351346
taosdata;TDengine;23794;504;2058;173;9136405;C;6595729
wesbos;JavaScript30;378;29;473;113;189734;HTML;164611
websockets;ws;1778;6;1339;175;364216;JavaScript;364216
yuzu-emu;yuzu;20923;941;1599;205;17200586;C++;17041878
1c7;chinese-independent-developer;811;2;61;87;0;None;0
BoostIO;BoostNote-Legacy;4730;500;1900;237;1084174;JavaScript;895071
InterviewMap;CS-Interview-Knowledge-Map;630;42;75;41;0;None;0
asim;go-micro;3642;69;820;156;18955085;Go;18950599
Light-City;CPlusPlusThings;196;73;91;20;378017;C++;370715
gofiber;fiber;3154;32;780;212;1820147;Go;1809869
npm;npm;8342;2167;16502;527;0;None;0
Micropoor;Micro8;127;17;31;3;0;None;0
magenta;magenta;1398;337;570;142;2717687;Python;2694855
PaddlePaddle;Paddle;34325;2778;12225;529;60600860;Python;27969334
uikit;uikit;4968;735;3303;33;2820784;HTML;1244355
jitsi;jitsi-meet;9826;436;4691;341;5812940;JavaScript;4880739
norvig;pytudes;755;21;16;40;18021368;Jupyter Notebook;17660775
HelloZeroNet;ZeroNet;4033;748;1436;119;3785158;JavaScript;1996589
python-telegram-bot;python-telegram-bot;2270;35;3;162;3036601;Python;3035924
facebook;flux;469;7;232;132;68734;JavaScript;66207
lutzroeder;netron;5298;20;752;8;4535389;JavaScript;4357563
mojs;mojs;1677;34;151;21;987744;CoffeeScript;807826
google;flatbuffers;2515;129;1751;525;7323009;C++;2814863
swoole;swoole-src;12440;82;2926;131;5963335;C++;3581821
TheAlgorithms;C-Plus-Plus;1555;70;182;272;1619918;C++;1601005
google;flexbox-layout;370;108;214;28;875354;Kotlin;525275
openssl;openssl;30989;1626;5491;643;29195261;C;21250767
mxgmn;WaveFunctionCollapse;135;0;40;16;32820;C#;32820
facebook;hhvm;47652;651;5276;737;66434671;C++;27043133
dgraph-io;dgraph;5799;104;2318;186;6411875;Go;6053534
microsoft;CNTK;16116;836;2527;201;19787236;C++;10911422
julianshapiro;velocity;895;42;772;50;912147;JavaScript;541573
nosir;cleave.js;423;188;324;70;101490;JavaScript;100392
vnpy;vnpy;6335;9;1861;117;196844;Python;194977
apollographql;apollo-client;10493;618;3673;654;2001410;TypeScript;1971791
codex-team;editor.js;623;386;715;50;578219;TypeScript;498856
svg;svgo;1317;212;901;170;439813;JavaScript;436670
crystal-lang;crystal;13752;1409;5048;441;10836270;Crystal;10652943
mpv-player;mpv;49471;777;6549;358;6933453;C;6061324
ascoders;weekly;851;2;276;62;604;JavaScript;604
urfave;cli;2006;82;567;209;362292;Go;361294
hwdsl2;setup-ipsec-vpn;1009;1;1014;16;211992;Shell;211992
philc;vimium;4423;975;2069;135;613222;JavaScript;544159
alibaba;ice;1715;159;2074;87;816438;TypeScript;574468
CarGuo;GSYVideoPlayer;1404;16;3;17;1461468;Java;1428519
elunez;eladmin;473;22;568;44;837057;Java;755016
sdras;awesome-actions;1243;90;24;280;0;None;0
luong-komorebi;Awesome-Linux-Software;1332;26;100;227;9874;Python;9874
streamlit;streamlit;4614;551;1733;130;4187135;Python;1961736
pbatard;rufus;1876;13;1692;101;3742162;C;3364400
typicode;lowdb;465;0;395;32;11542;JavaScript;11410
mysqljs;mysql;1350;217;1958;126;652282;JavaScript;652282
react-dnd;react-dnd;2206;285;1255;192;569895;TypeScript;534913
nushell;nushell;5057;305;1705;300;3788516;Rust;3765181
rome;tools;2808;58;563;155;2603365;Rust;2011383
SerenityOS;serenity;35224;561;2342;644;28311528;C++;24777741
reduxjs;redux-thunk;164;0;201;48;16434;TypeScript;14734
prisma;prisma1;12488;550;3;250;5404831;Scala;3692512
JacksonTian;fks;219;15;17;56;7602;JavaScript;5200
firecracker-microvm;firecracker;3367;148;1066;157;3785833;Rust;2910809
nostra13;Android-Universal-Image-Loader;1038;447;773;38;348510;Java;348510
elastic;kibana;50846;9730;33993;712;129576010;TypeScript;119340146
MLEveryday;100-Days-Of-ML-Code;321;9;40;19;470790;Jupyter Notebook;453329
defunkt;jquery-pjax;508;92;388;67;84542;JavaScript;77775
