User_Name;Repo_Name;Commits_On_Main;Open_Issues;Closed_Issues;Contributors;Total_Lines;Most_Used_Language;Max_Lang_Lines
vercel;hyper;3032;762;2718;267;296928;TypeScript;285175
facebook;jest;6018;1590;5272;1317;3725805;TypeScript;2809645
iamkun;dayjs;1376;441;654;279;547540;JavaScript;547540
bailicangdu;vue2-elm;508;92;482;13;490973;Vue;430706
karan;Projects;182;77;32;16;0;None;0
DefinitelyTyped;DefinitelyTyped;79661;775;7099;5000;39666726;TypeScript;39645760
mozilla;pdf.js;15403;347;7767;356;4656932;JavaScript;4541014
Alamofire;Alamofire;1537;32;2577;234;1520811;Swift;1520057
justjavac;awesome-wechat-weapp;584;2;285;182;0;None;0
binhnguyennus;awesome-scalability;1115;11;54;16;0;None;0
apache;dubbo;5366;399;4671;382;11850568;Java;11795164
FreeCodeCampChina;freecodecamp.cn;8845;152;444;314;4377697;CSS;3311694
impress;impress.js;399;63;400;80;420342;JavaScript;371250
tldr-pages;tldr;9904;196;728;1703;3641911;Markdown;3610513
alacritty;alacritty;1960;310;3802;360;972634;Rust;937942
Unitech;pm2;4970;565;3943;265;897533;JavaScript;727571
traefik;traefik;4275;617;4251;663;3539010;Go;3253762
algorithm-visualizer;algorithm-visualizer;664;36;65;23;110131;JavaScript;92387
caddyserver;caddy;1250;97;2790;132;1510890;Go;1493165
danielmiessler;SecLists;1297;26;156;200;133140;PHP;53627
fighting41love;funNLP;124;21;29;8;365;Python;365
styled-components;styled-components;3302;77;2439;295;425264;TypeScript;358639
cypress-io;cypress;16323;2127;7482;332;12673815;JavaScript;8940147
MunGell;awesome-for-beginners;431;65;3;267;0;None;0
vitejs;vite;3703;909;2778;495;1067311;TypeScript;803283
fffaraz;awesome-cpp;1484;395;164;322;0;None;0
anuraghazra;github-readme-stats;502;256;555;190;167002;JavaScript;166493
pixijs;pixijs;5905;108;4643;384;2683770;TypeScript;2551588
dcloudio;uni-app;9511;920;2078;190;4153143;JavaScript;3237446
chinese-poetry;chinese-poetry;541;75;79;47;33811;JavaScript;31293
nodejs;node-v0.x-archive;2;571;5845;2;0;None;0
GitSquared;edex-ui;1428;6;553;60;469044;JavaScript;411622
discourse;discourse;44471;43;15629;805;21588930;Ruby;12988733
hoppscotch;hoppscotch;4121;53;679;180;1252974;Vue;632662
PhilJay;MPAndroidChart;2070;2048;2843;69;1317015;Java;1317015
obsproject;obs-studio;10532;652;1492;481;10302398;C;5651730
ethereum;go-ethereum;13169;336;6021;716;13259487;Go;11883548
pi-hole;pi-hole;5035;33;2440;203;464941;Shell;358928
bradtraversy;design-resources-for-developers;1853;1;68;330;0;None;0
hexojs;hexo;3516;79;3695;160;750624;JavaScript;750566
adobe;brackets;17847;2791;3;372;15791861;JavaScript;13258040
Avik-Jain;100-Days-Of-ML-Code;109;60;17;7;0;None;0
ocornut;imgui;6841;713;3240;280;3308863;C++;2904862
tiimgreen;github-cheat-sheet;505;17;41;83;0;None;0
slatedocs;slate;675;36;546;126;70439;SCSS;30771
fastlane;fastlane;16282;186;3;1208;7390469;Ruby;6063800
AFNetworking;AFNetworking;2943;84;3059;318;711746;Objective-C;688555
vuetifyjs;vuetify;11680;1039;3;706;3502595;TypeScript;1899876
shadowsocks;shadowsocks;1;448;142;8;173709;Python;157279
FiloSottile;mkcert;152;110;202;37;43665;Go;43665
0voice;interview_internal_reference;339;29;18;27;1228;Python;1228
alvarotrigo;fullPage.js;1906;212;3627;137;393900;JavaScript;367300
swisskyrepo;PayloadsAllTheThings;1352;19;389;181;235687;Python;203302
php;php-src;127786;329;166;855;108899225;C;80719373
dypsilon;frontend-dev-bookmarks;390;114;79;103;0;None;0
grpc;grpc;50563;1058;9240;708;27153626;C++;15322355
huginn;huginn;3428;604;1400;211;1655407;Ruby;1467474
isocpp;CppCoreGuidelines;2012;197;778;294;14727;Python;9035
Leaflet;Leaflet;7146;512;4329;716;937965;JavaScript;786176
sahat;hackathon-starter;2541;54;583;183;176018;JavaScript;94775
videojs;video.js;3798;411;4304;412;1513478;JavaScript;1463101
gulpjs;gulp;1197;29;1836;248;17347;JavaScript;17347
kamranahmedse;design-patterns-for-humans;134;15;44;43;0;None;0
apachecn;AiLearning;207;2;100;41;958219;Python;894998
yangshun;front-end-interview-handbook;557;16;61;143;49061;JavaScript;41985
airbnb;lottie-android;1412;16;1386;115;1079229;Java;747625
shadowsocks;shadowsocks-android;3630;30;2343;41;556133;Kotlin;534526
BVLC;caffe;4156;1179;3882;269;3678623;C++;2945020
CorentinJ;Real-Time-Voice-Cloning;294;36;3;17;252952;Python;252952
koajs;koa;1150;62;826;224;173014;JavaScript;173014
pandas-dev;pandas;29119;3395;18838;2537;20046082;Python;18088669
bumptech;glide;2636;337;3751;133;3135204;Java;3119540
exacity;deeplearningbook-chinese;730;62;136;16;1725188;TeX;1720830
jakevdp;PythonDataScienceHandbook;234;176;65;16;20355844;Jupyter Notebook;20301493
google;material-design-lite;2872;390;1802;177;796389;HTML;291550
Alvin9999;new-pac;834;292;892;8;0;None;0
ryanoasis;nerd-fonts;1271;250;323;130;480464;CSS;195750
commaai;openpilot;6003;194;1360;282;3792463;Python;1966061
ngosang;trackerslist;2256;3;306;2;0;None;0
willmcgugan;rich;2818;37;670;152;1160204;Python;1159125
immutable-js;immutable-js;1689;111;1112;204;609581;TypeScript;348583
apache;spark;32518;244;35471;1791;60737775;Scala;40295712
quilljs;quill;5255;1194;1884;127;409998;JavaScript;390378
microsoft;playwright;7172;428;4144;205;5264762;TypeScript;4660302
alex;what-happens-when;294;162;19;72;0;None;0
zenorocha;clipboard.js;382;4;587;60;21563;JavaScript;21369
floodsung;Deep-Learning-Papers-Reading-Roadmap;114;86;4;28;4593;Python;4593
RocketChat;Rocket.Chat;21037;3203;11406;775;9994843;JavaScript;5795856
PowerShell;PowerShell;9258;3206;6788;395;36149631;C#;30826082
lerna;lerna;2218;772;1488;253;956950;JavaScript;954939
blueimp;jQuery-File-Upload;1265;49;3258;99;142998;PHP;60228
XX-net;XX-Net;2285;7769;5180;70;22473359;Python;21976979
ant-design;ant-design-pro;2368;153;8011;282;216424;TypeScript;199045
photonstorm;phaser;17143;148;3703;520;8939698;JavaScript;8903660
wg;wrk;80;160;252;8;210525;C;202017
Kong;kong;8008;315;3573;276;6871795;Lua;6284391
sharkdp;bat;2311;140;894;265;279887;Rust;267357
akullpp;awesome-java;1587;6;109;315;0;None;0
Trinea;android-open-project;954;27;68;116;0;None;0
jondot;awesome-react-native;2193;54;34;578;1214;JavaScript;679
minio;minio;9281;22;5800;341;7105130;Go;7058609
rclone;rclone;6019;729;3664;494;5464939;Go;5339798
preactjs;preact;4993;225;3;285;950167;JavaScript;911721
hashicorp;terraform;29570;1595;16827;1590;9426480;Go;9364249
open-guides;og-aws;1036;139;86;213;928;Shell;928
typescript-cheatsheets;react;917;2;3;143;22440;JavaScript;21233
NationalSecurityAgency;ghidra;6400;1301;1863;175;97222618;Java;83743851
testerSunshine;12306;435;270;3;23;191949;Python;190210
iperov;DeepFaceLab;1303;399;724;19;900013;Python;900013
Homebrew;brew;30731;32;3424;845;6014710;Ruby;5623089
Blankj;AndroidUtilCode;1404;159;1245;34;2672349;Java;2360661
NervJS;taro;7861;856;7532;394;4296588;TypeScript;2332230
shadowsocks;ShadowsocksX-NG;584;252;1025;29;171168;Swift;112866
google-research;bert;111;841;343;28;280823;Python;214335
pingcap;tidb;16872;2949;8543;725;28842806;Go;28029842
xitu;gold-miner;11326;48;3;524;0;None;0
faif;python-patterns;806;11;65;106;124321;Python;122024
bilibili;ijkplayer;2627;2717;2491;44;2417910;C;1388189
getsentry;sentry;41336;463;4546;537;30919631;Python;17899691
nolimits4web;swiper;2947;163;4136;220;549587;JavaScript;430299
ventoy;Ventoy;620;302;897;56;11090887;C;9347929
evanw;esbuild;2906;243;1573;78;4272319;Go;3395291
google;styleguide;455;295;106;72;903704;HTML;588333
geekxh;hello-algorithm;393;4;32;6;73641;Java;73641
agalwood;Motrix;1006;496;476;55;811446;JavaScript;569181
kelseyhightower;kubernetes-the-hard-way;285;131;287;52;0;None;0
nativefier;nativefier;1146;188;890;123;269452;TypeScript;225687
carbon-app;carbon;1763;16;3;169;316992;JavaScript;316707
GokuMohandas;MadeWithML;20;3;32;8;2908824;Jupyter Notebook;2908824
foundation;foundation-sites;17200;35;8098;1038;1333033;HTML;753369
d2l-ai;d2l-zh;3920;17;1072;206;433257;Python;306061
facebook;docusaurus;4683;187;1950;823;1815708;TypeScript;1691962
jaredpalmer;formik;1703;686;1479;412;368301;TypeScript;340743
wagoodman;dive;412;117;143;38;235704;Go;229122
istio;istio;17470;644;14762;780;11685828;Go;11438221
serhii-londar;open-source-mac-os-apps;1219;51;131;260;12668;Swift;12152
joshbuchea;HEAD;365;20;73;63;0;None;0
dkhamsing;open-source-ios-apps;5893;2;231;306;70548;Swift;25158
vuejs;vue-cli;3485;896;4409;471;1313514;JavaScript;985212
zxing;zxing;3645;7;1138;114;2680488;Java;2578522
lukehoban;es6features;109;38;36;38;0;None;0
iina;iina;2927;1308;1684;94;1058587;Swift;937768
AobingJava;JavaFamily;215;0;58;2;0;None;0
ariya;phantomjs;1958;15;4721;371;782125;C++;307734
brillout;awesome-react-components;770;1;40;200;0;None;0
eugenp;tutorials;24002;67;533;816;26347177;Java;20791773
sherlock-project;sherlock;1633;141;510;140;70161;Python;69476
BurntSushi;ripgrep;1637;144;1205;297;1492079;Rust;1406204
certbot;certbot;10425;584;4441;445;3255916;Python;3067198
SheetJS;sheetjs;605;77;2098;168;3214023;JavaScript;3007585
unknwon;the-way-to-go_ZH_CN;1404;26;654;240;336715;Go;318162
bayandin;awesome-awesomeness;572;18;49;244;1783;Ruby;1783
golang-standards;project-layout;175;76;25;39;34;Makefile;34
netty;netty;10748;485;5276;561;18411414;Java;18137489
skylot;jadx;1683;202;828;71;3476836;Java;3300460
react-boilerplate;react-boilerplate;1457;91;1813;219;246900;JavaScript;234270
dylanaraps;pure-bash-bible;263;49;30;21;6805;Shell;6805
formulahendry;955.WLB;50;183;68;15;0;None;0
microsoft;ML-For-Beginners;1429;11;120;106;10572746;Jupyter Notebook;10504899
alibaba;arthas;1716;218;1292;153;3842189;Java;2091337
CSSEGISandData;COVID-19;5570;1867;1874;8;0;None;0
gorhill;uBlock;9677;35;3416;97;2290832;JavaScript;1990495
jashkenas;backbone;3448;71;2350;321;505681;JavaScript;282774
nlohmann;json;4320;58;1932;218;3242161;C++;3152326
chubin;cheat.sh;892;93;103;50;262930;Python;176985
satwikkansal;wtfpython;485;59;112;67;23344;Python;23344
date-fns;date-fns;1872;361;3;367;2515241;TypeScript;2349795
codepath;android_guides;62;158;216;9;0;None;0
tastejs;todomvc;2905;187;628;323;174961;JavaScript;140917
fxsjy;jieba;523;634;209;40;14120514;Python;7349705
shengxinjing;programmer-job-blacklist;147;153;178;15;104;Shell;104
beego;beego;4549;23;3106;368;2156409;Go;2155421
Homebrew;legacy-homebrew;63882;0;17037;5000;0;None;0
FFmpeg;FFmpeg;105868;3;378;1230;63526481;C;58331499
caolan;async;1855;13;1092;230;625776;JavaScript;599795
microsoft;monaco-editor;2782;615;2104;189;24661306;JavaScript;20013178
go-gitea;gitea;12924;1995;6853;990;10894987;Go;7750056
google;leveldb;415;207;511;54;906874;C++;862159
mathiasbynens;dotfiles;761;187;238;122;113837;Shell;64012
kenwheeler;slick;921;1339;2357;147;117096;JavaScript;89981
aosabook;500lines;3297;57;39;61;1698456;JavaScript;837088
koalaman;shellcheck;1802;744;1395;126;678760;Haskell;654482
freeCodeCamp;devdocs;4394;120;881;165;1444825;Ruby;1124027
vuejs;vuex;1199;118;1131;311;139780;JavaScript;127616
laurent22;joplin;7518;323;4065;464;7606762;TypeScript;4295938
square;leakcanary;1829;97;1302;125;1244162;Kotlin;1243603
jgraph;drawio;1725;222;2066;30;11688181;JavaScript;11463435
streamich;react-use;2910;457;210;169;461984;TypeScript;459466
metabase;metabase;22841;2215;8493;296;18025591;Clojure;9252088
ityouknow;spring-boot-examples;173;11;97;8;251187;Java;229308
dotnet;aspnetcore;48980;2308;22857;1016;56813169;C#;48852506
cli;cli;5296;373;2163;293;2277093;Go;2271497
alibaba;p3c;288;89;682;35;620279;Kotlin;322607
typeorm;typeorm;4929;1464;5110;793;6726690;TypeScript;6707109
markedjs;marked;2677;49;1175;138;519214;JavaScript;427930
crossoverJie;JCSprout;709;40;59;23;173963;Java;173963
jeecgboot;jeecg-boot;617;31;3;9;13414112;Java;13253664
standard;standard;1916;87;1100;170;4278;JavaScript;3567
vuejs;vue-next;4203;550;2371;304;2929209;TypeScript;2840543
vlang;v;12464;721;4769;514;7130187;V;7055174
sorrycc;awesome-javascript;775;36;75;275;0;None;0
fzaninotto;Faker;2632;243;494;452;10081160;PHP;10080422
jashkenas;underscore;2775;50;1367;279;531974;JavaScript;358287
symfony;symfony;59720;747;3;2555;38421706;PHP;37918503
go-gorm;gorm;2395;46;4192;288;807090;Go;805408
ReactiveX;rxjs;4957;247;3;498;3951420;TypeScript;3560174
mastodon;mastodon;11264;2071;4466;661;4847811;Ruby;2765336
apolloconfig;apollo;2657;121;2609;107;4107805;Java;3243162
amix;vimrc;441;28;3;75;4718146;Vim script;3758989
gto76;python-cheatsheet;2187;32;35;11;1685625;Python;848493
ziadoz;awesome-php;1550;112;117;267;0;None;0
Tencent;weui;673;46;604;22;390686;HTML;190785
LeCoupa;awesome-cheatsheets;709;50;39;119;523621;JavaScript;273437
openai;gym;1533;104;1404;336;727935;Python;726748
composer;composer;11380;185;3;888;6778378;PHP;6778224
elsewhencode;project-guidelines;165;11;28;74;1406;JavaScript;1406
airbnb;lottie-web;2222;802;1774;77;5452692;JavaScript;5450023
houshanren;hangzhou_house_knowledge;73;105;7;7;280864;CSS;160321
rapid7;metasploit-framework;63477;500;4519;919;38822756;Ruby;36720043
atlassian;react-beautiful-dnd;795;506;998;125;1762117;JavaScript;1761914
JakeWharton;butterknife;1016;113;1074;97;581548;Java;546650
junegunn;vim-plug;681;90;3;57;86295;Vim script;82854
raywenderlich;swift-algorithm-club;2534;50;180;256;1025631;Swift;1020110
IanLunn;Hover;130;37;82;21;192458;CSS;170758
laravel;framework;33208;17;15784;2748;9022578;PHP;8972277
postcss;postcss;3692;12;845;356;269012;TypeScript;152790
herrbischoff;awesome-macos-command-line;1;0;181;81;0;None;0
ZuzooVn;machine-learning-for-software-engineers;296;21;3;36;0;None;0
webtorrent;webtorrent;3088;106;1392;160;236925;JavaScript;236315
vim;vim;15593;1187;4914;99;30956760;Vim script;15562037
pyenv;pyenv;2802;43;1367;337;500076;Roff;247144
excalidraw;excalidraw;2510;610;1248;183;1549456;TypeScript;1391311
poteto;hiring-without-whiteboards;1734;30;1174;945;20;JavaScript;20
sentsin;layui;335;748;125;17;624492;JavaScript;507814
mitmproxy;mitmproxy;9653;290;2508;370;2497520;Python;2070192
nvie;gitflow;401;310;123;37;6641;Shell;6641
sequelize;sequelize;9207;841;8824;1005;3792254;JavaScript;3619869
tauri-apps;tauri;2343;141;922;145;1377149;Rust;1183245
Developer-Y;cs-video-courses;274;7;52;60;0;None;0
request;request;2270;117;2130;312;308383;JavaScript;305377
proxyee-down-org;proxyee-down;474;212;33;9;270056;Java;159918
Eugeny;tabby;4783;824;2190;79;973531;TypeScript;756195
naptha;tesseract.js;627;124;373;56;58227;JavaScript;56001
supabase;supabase;5192;261;854;324;2188205;TypeScript;1583616
select2;select2;2635;77;4621;490;202618;JavaScript;168759
rethinkdb;rethinkdb;33438;1418;3;162;23232681;C++;17633554
VincentGarreau;particles.js;235;338;89;14;43009;JavaScript;43009
mqyqingfeng;Blog;285;173;94;2;0;None;0
github;fetch;654;17;570;73;76346;JavaScript;75921
niklasvh;html2canvas;1066;746;1620;50;687999;TypeScript;400749
Modernizr;Modernizr;2600;184;1307;291;507337;JavaScript;500698
angular;angular-cli;8956;256;13299;560;3216543;TypeScript;3020575
typicode;husky;814;12;797;92;7112;JavaScript;6963
lib-pku;libpku;132;13;30;15;292805;TeX;290608
aria2;aria2;5290;893;733;55;5990659;C++;5662370
jesseduffield;lazygit;2960;303;666;133;1230281;Go;1171516
alibaba;druid;6513;2300;1322;164;20618412;Java;20116047
facebookresearch;Detectron;141;322;614;34;725828;Python;674867
transloadit;uppy;8655;77;3;316;1760678;JavaScript;1486131
danielgindi;Charts;1736;820;3216;138;1262769;Swift;1063591
react-hook-form;react-hook-form;3135;16;3;205;1189090;TypeScript;1177629
jgraph;drawio-desktop;505;98;707;12;4514;Shell;2962
hasura;graphql-engine;4022;1805;3081;417;11623650;Haskell;4314083
acmesh-official;acme.sh;4529;853;1620;351;1086837;Shell;1085268
Advanced-Frontend;Daily-Interview-Question;252;244;291;6;101122;JavaScript;101122
nylas;nylas-mail;6116;1015;2434;100;6267931;JavaScript;3304557
mobxjs;mobx;3109;19;1772;274;1368873;TypeScript;738696
hankcs;HanLP;1625;5;1315;34;2592368;Python;2090643
cheeriojs;cheerio;1836;25;1033;124;511805;TypeScript;376691
tabler;tabler;1909;69;469;63;464721;HTML;302835
denysdovhan;wtfjs;378;13;85;75;1931;JavaScript;1931
2dust;v2rayN;411;21;1841;17;447216;C#;447216
geekcompany;ResumeSample;26;11;8;3;0;None;0
docker;compose;3156;743;5419;75;468448;Go;452512
tannerlinsley;react-query;1451;29;854;401;699187;TypeScript;694636
spf13;cobra;878;301;645;239;454835;Go;453371
google;googletest;3857;212;1706;352;3300911;C++;2972986
geekcomputers;Python;2622;227;94;604;1291120;Python;996240
donnemartin;interactive-coding-challenges;790;67;29;42;1450142;Python;1449488
harness;drone;3987;52;1328;295;1665800;Go;1665557
trailofbits;algo;1111;109;1372;160;128771;Jinja;62464
GitbookIO;gitbook;2377;1012;316;99;380713;JavaScript;380713
xkcoding;spring-boot-demo;733;93;71;9;707390;Java;613746
jgm;pandoc;15313;811;5434;416;4115782;Haskell;3618651
johnpapa;angular-styleguide;1136;80;361;184;0;None;0
apache;airflow;15269;896;4270;1966;20927751;Python;19659104
google;zx;234;9;188;31;25557;JavaScript;25557
realpython;python-guide;2305;104;173;417;4456;Batchfile;4273
codemirror;CodeMirror;7048;440;3639;838;3452186;JavaScript;2782206
alibaba;fastjson;3939;1794;1570;176;7500703;Java;7491221
psf;black;1281;318;1553;310;4883627;Python;4871142
0xAX;linux-insides;1830;52;132;276;2638;Python;1786
scwang90;SmartRefreshLayout;1092;222;1191;3;1126845;Java;1123426
cmderdev;cmder;1340;25;2094;134;38691;C++;23837
ianstormtaylor;slate;3785;481;2324;464;856399;TypeScript;828730
hashicorp;vagrant;14136;649;8504;969;4430016;Ruby;4285272
ggreer;the_silver_searcher;2057;512;402;216;298206;C;241439
marktext;marktext;1589;622;1477;136;1636760;JavaScript;1243855
bvaughn;react-virtualized;1985;445;709;200;786506;JavaScript;765230
CMU-Perceptual-Computing-Lab;openpose;692;138;1627;92;2528405;C++;2242422
lenve;vhr;157;186;91;2;463668;Java;463668
curl;curl;28325;66;3178;803;8466142;C;6480978
gitlabhq;gitlabhq;107755;35;3605;1970;73794551;Ruby;49567348
chakra-ui;chakra-ui;7915;141;2310;492;1512556;TypeScript;1491345
hammerjs;hammer.js;1199;310;759;87;251368;JavaScript;219420
nagadomi;waifu2x;746;138;196;32;406989;Lua;241643
VundleVim;Vundle.vim;629;203;548;63;47368;Vim script;46945
cockroachdb;cockroach;67071;4772;34932;549;60806152;Go;54637613
kubernetes;minikube;18251;685;6636;718;5014977;Go;2794552
powerline;fonts;202;169;92;59;3069;Shell;1683
alebcay;awesome-shell;637;78;19;253;0;None;0
OAI;OpenAPI-Specification;1927;529;1321;194;22608;JavaScript;15808
StreisandEffect;streisand;1424;240;929;139;63365;Shell;41039
influxdata;influxdb;35083;1429;10915;428;12658028;Go;12523433
pypa;pipenv;7301;524;3082;353;7960713;Python;7806141
ccxt;ccxt;49958;664;6139;541;21302703;JavaScript;7569423
CymChad;BaseRecyclerViewAdapterHelper;1210;458;2879;37;352913;Java;196381
halfrost;LeetCode-Go;1233;10;3;40;1557899;Go;1435856
yunjey;pytorch-tutorial;173;84;112;27;72515;Python;72066
encode;django-rest-framework;8509;236;3608;1120;1592854;Python;1448771
byoungd;English-level-up-tips-for-Chinese;227;12;50;22;0;None;0
hashicorp;vault;14781;1116;3910;1036;13890158;Go;10638604
wuyouzhuguli;SpringAll;140;23;25;2;811643;Java;752028
SeleniumHQ;selenium;27981;111;7845;619;18498849;Java;6410627
angular;components;9402;1945;11291;605;12991312;TypeScript;10763406
Binaryify;NeteaseCloudMusicApi;1142;105;3;64;179492;JavaScript;164387
topjohnwu;Magisk;5628;51;3940;234;1163254;C++;556564
Netflix;Hystrix;2109;392;678;109;3425715;Java;3375198
sindresorhus;awesome-electron;543;0;40;285;0;None;0
dokku;dokku;7524;45;2302;440;1137499;Shell;696756
cfenollosa;os-tutorial;147;100;86;12;213731;C;109883
alibaba;easyexcel;767;125;1981;38;1303971;Java;1303971
harvesthq;chosen;1283;299;2120;104;301752;HTML;185210
balderdashy;sails;7143;520;5835;236;1352981;JavaScript;1352809
pure-css;pure;718;0;562;65;395336;JavaScript;190015
emberjs;ember.js;21318;425;6200;885;4555556;JavaScript;3373816
heartcombo;devise;3769;191;3951;549;605946;Ruby;589182
hollischuang;toBeTopJavaer;265;34;61;37;749;Java;749
donnemartin;data-science-ipython-notebooks;543;22;21;12;19491231;Python;19488744
mbeaudru;modern-js-cheatsheet;159;10;37;69;0;None;0
doczjs;docz;1604;117;1122;133;221401;TypeScript;135421
dmlc;xgboost;5688;292;4066;525;4878975;C++;2058940
Dreamacro;clash;719;65;1265;72;526327;Go;522499
redux-saga;redux-saga;1902;81;1391;324;332967;JavaScript;273675
explosion;spaCy;15330;102;4965;589;4572590;Python;3502985
pmndrs;react-spring;3234;52;1007;138;369726;TypeScript;361577
balena-io;etcher;2968;347;1517;69;386520;TypeScript;377561
littlecodersh;ItChat;188;247;607;17;122052;Python;122052
go-kit;kit;1514;43;510;194;745407;Go;744819
pjreddie;darknet;452;1902;526;8;932549;C;843257
fouber;blog;94;10;4;2;0;None;0
sqlmapproject;sqlmap;9911;54;4557;102;2064688;Python;2027973
syl20bnr;spacemacs;12222;440;7688;1131;3764741;Emacs Lisp;3718509
t4t5;sweetalert;361;176;543;61;93715;TypeScript;46357
firstcontributions;first-contributions;38491;1675;339;5000;0;None;0
mdbootstrap;mdb-ui-kit;1447;2;1134;107;290642;JavaScript;145847
tj;commander.js;1130;4;867;166;453599;JavaScript;432933
react-native-elements;react-native-elements;2227;65;1837;348;715583;TypeScript;676098
immerjs;immer;1242;36;530;149;289401;JavaScript;140972
ovity;octotree;718;43;680;66;281431;JavaScript;203267
fastai;fastai;1880;113;1459;667;60455692;Jupyter Notebook;59789910
Polymer;polymer;6857;282;3648;148;1933733;HTML;1223528
kahun;awesome-sysadmin;515;261;26;141;0;None;0
signalapp;Signal-Android;9161;448;9044;257;14482967;Java;12246997
Tencent;wepy;2381;380;1783;169;500704;JavaScript;487832
reduxjs;react-redux;1053;22;3;265;329387;TypeScript;299627
mattermost;mattermost-server;14520;769;5687;674;12487404;Go;12078334
huihut;interview;365;5;39;22;79659;C++;71930
kataras;iris;2348;69;3;88;2534940;Go;2363883
facebook;flow;13195;2484;4180;733;13278080;OCaml;9082014
fastify;fastify;3148;61;1302;473;1094805;JavaScript;1025337
alibaba;canal;1464;895;2677;154;3564691;Java;3373599
ramda;ramda;2962;145;1427;305;734159;JavaScript;732930
lukasz-madon;awesome-remote-job;1005;24;39;396;0;None;0
matteocrippa;awesome-swift;3786;0;121;598;29537;Swift;25209
facebook;rocksdb;10802;673;2034;632;21672637;C++;17759225
vuejs;devtools;1920;381;984;111;672365;TypeScript;312914
dimsemenov;PhotoSwipe;393;577;1084;49;196259;JavaScript;122255
github;hub;3315;270;1735;240;725093;Go;358907
dromara;hutool;3312;3;1636;155;6419696;Java;6415217
jamiebuilds;the-super-tiny-compiler;13;17;44;18;41573;JavaScript;41573
guzzle;guzzle;3594;39;1711;369;447221;PHP;436101
seata;seata;1423;639;1965;237;10012481;Java;9732195
MostlyAdequate;mostly-adequate-guide;853;82;202;169;71331;JavaScript;70237
swagger-api;swagger-ui;5360;724;4063;455;1263280;JavaScript;1191758
markerikson;react-redux-links;401;31;22;56;0;None;0
vapor;vapor;5586;93;1385;201;1019296;Swift;952888
facebook;draft-js;1147;930;963;246;900753;JavaScript;889652
ReactiveX;RxSwift;3617;14;1152;322;3399872;Swift;3192044
inconshreveable;ngrok;328;345;417;24;156150;Go;113076
lovell;sharp;1590;102;2687;154;926460;JavaScript;619908
Wox-launcher;Wox;2749;806;2397;106;650365;C#;637512
emscripten-core;emscripten;23862;1217;6247;628;27567859;C;12055622
labstack;echo;1598;58;1196;225;763139;Go;761888
android;architecture-components-samples;602;172;534;63;766626;Kotlin;520626
ClickHouse;ClickHouse;83943;2017;8941;936;73862336;C++;58139509
kriasoft;react-starter-kit;3;7;1165;8;89977;TypeScript;72183
matterport;Mask_RCNN;203;1828;801;42;199107;Python;199107
SwiftyJSON;SwiftyJSON;739;131;573;137;162684;Swift;160612
feathericons;feather;634;452;221;35;16833;JavaScript;16326
bevacqua;dragula;366;149;406;39;72433;JavaScript;55643
mochajs;mocha;3558;263;2567;474;1131075;JavaScript;1124559
rollup;rollup;4854;383;2390;296;4076700;JavaScript;3335623
google;iosched;3101;65;186;56;1503521;Kotlin;1457052
beurtschipper;Depix;38;7;22;8;16953;Python;16953
google-research;google-research;2946;609;223;402;114911357;Jupyter Notebook;63241333
alibaba;spring-cloud-alibaba;2049;376;1291;125;1455190;Java;1452885
iamadamdev;bypass-paywalls-chrome;592;0;997;53;67564;JavaScript;62013
stedolan;jq;1340;733;1265;128;1844265;C;1725403
mongodb;mongo;63490;59;1376;572;93789081;C++;68440910
veggiemonk;awesome-docker;2824;0;113;353;0;None;0
sampotts;plyr;2205;733;1143;163;284590;JavaScript;237057
helm;helm;6503;484;5985;546;1669921;Go;1629795
mbadolato;iTerm2-Color-Schemes;624;13;71;157;257649;Shell;178398
openfaas;faas;2033;33;737;161;225443;Go;163698
usablica;intro.js;1149;48;681;101;323872;JavaScript;146201
googlehosts;hosts;601;64;3;9;0;None;0
NativeScript;NativeScript;6786;915;3;219;4870617;TypeScript;3918602
paularmstrong;normalizr;454;38;279;62;60076;JavaScript;54968
alibaba;nacos;3946;691;4703;223;8357262;Java;8258186
nocodb;nocodb;2194;227;416;75;5520281;Vue;2316400
fabricjs;fabric.js;4389;281;5092;266;2292443;JavaScript;2290758
rust-lang;rustlings;1048;112;270;209;131030;Rust;123902
jesseduffield;lazydocker;552;117;84;47;291486;Go;285848
facebook;folly;10535;354;600;646;16199803;C++;15368307
nsqio;nsq;2217;63;546;119;656160;Go;538675
komeiji-satori;Dress;1477;113;3;330;11012;Standard ML;6986
apache;kafka;9788;932;10919;871;41821272;Java;30941714
react-navigation;react-navigation;1756;484;8056;140;1207596;TypeScript;1179572
tqdm;tqdm;1906;341;544;106;337046;Python;281730
eriklindernoren;ML-From-Scratch;374;45;36;6;251183;Python;251183
kilimchoi;engineering-blogs;1705;52;74;335;3438;Ruby;3438
PKUanonym;REKCARC-TSC-UHT;134;10;14;45;27284436;HTML;10949956
HeroTransitions;Hero;532;181;406;73;314940;Swift;280798
bilibili;flv.js;431;388;3;17;313823;JavaScript;313622
pugjs;pug;2572;266;2258;252;335720;JavaScript;263313
starship;starship;2002;370;1025;348;1003801;Rust;956013
halo-dev;halo;2094;72;996;77;2018304;Java;1741949
google;python-fire;259;135;147;45;377149;Python;375704
wsargent;docker-cheat-sheet;431;6;22;95;0;None;0
chenglou;react-motion;809;188;248;72;108206;JavaScript;107704
servo;servo;44381;3442;8229;1121;0;None;0
